cta_per,cta_id,(No column name),(No column name),total
10297,2540066,PTM,84,4702.66
10299,2262708,PTM,1,2804.50
10306,2433958,PTM,1,3016.80
10339,2681505,PTM,1,7415.39
10340,3074375,PTM,6,5114.06
10341,2356248,PTM,1,3208.09
10352,2342742,PTM,1,5768.69
10382,2412776,PTM,1,6015.17
10383,2299705,PTM,1,2242.01
10405,3082796,PTM,9,7019.74
10406,2797049,PTM,1,9679.56
10408,2994977,PTM,9,1924.73
10411,2316329,PTM,1,2460.54
10414,2455466,PTM,1,4090.32
10439,2612731,PTM,1,2004.50
10445,2884169,PTM,1124,10287.41
10468,2706384,PTM,1,12547.14
10472,2360160,PTM,1,8020.23
10481,2898113,PTM,1,16050.71
10484,2461172,PTM,1,12368.86
10485,2646912,PTM,1,10564.67
10497,2706383,PTM,1,6070.63
10498,2340214,PTM,1,7843.67
10499,2894886,PTM,1,8123.06
10502,2822894,PTM,1,4062.31
10517,3080064,PTM,6,19408.80
10583,2839156,PTM,6,6701.16
10590,2398765,PTM,6,4755.29
10595,2514017,PTM,6,4294.24
10713,2962930,PTM,6,13603.05
10760,3124606,PTM,6,4553.74
10836,2834631,PTM,9,3320.24
11191,2612113,PTM,8,2113.57
11815,3037941,PTM,6,7314.13
12246,2365487,PTM,6,14993.61
12349,2714065,PTM,3,12770.09
12629,2515917,PTM,12,21113.40
12629,2793897,PTM,9,33314.66
12993,3008282,PTM,6,1515.86
13440,2715724,PTM,485,10273.77
13492,2299652,PTM,9,10116.11
13496,2761689,PTM,9,3440.57
13840,3123596,PTM,9,2932.03
13840,3124515,PTM,9,1841.19
14345,2436120,PTM,6,994.32
14554,2511227,PTM,12,8391.58
14767,2696685,PTM,49,34524.32
14801,3074920,PTM,3,2196.21
15182,2978269,PTM,3,13265.82
15318,2762785,PTM,9,1957.55
15624,3052346,PTM,12,4198.22
15769,2706342,PTM,6,10514.00
16216,3132826,PTM,12,3196.26
16322,3123694,PTM,6,3177.18
16393,3132479,PTM,6,4010.47
16577,3131394,PTM,26,6410.85
16826,3137366,PTM,9,7933.20
17117,2984271,PTM,9,26474.78
17160,3096752,PTM,3,14762.32
17351,3133716,PTM,6,8403.68
17980,3127530,PTM,3,3511.09
18014,2665362,PTM,6,12185.54
18671,2771027,PTM,12,2099.45
18861,2700939,PTM,6,18605.43
18879,2539133,PTM,9,5365.11
20030,2525174,PTM,9,3389.67
20103,3140015,PTM,20,1094.34
21408,3135889,PTM,6,2316.86
21912,2710004,PTM,154,1855.59
21983,3145063,PTM,9,2384.02
22040,3123082,PTM,9,8429.36
22114,2897858,PTM,12,5920.89
22308,3125685,PTM,4,8029.06
22315,2879663,PTM,6,10199.32
22414,2707222,PTM,12,1297.20
22920,3136994,PTM,9,7725.62
23576,3122851,PTM,9,1559.17
24416,3140692,PTM,16,2930.55
27055,2971198,PTM,1,5338.05
27257,3129521,PTM,12,3147.11
27544,2877242,PTM,3,3370.66
28631,3128943,PTM,8,5112.45
28631,3129038,PTM,8,1080.72
29281,3119642,PTM,6,2807.06
29602,2638438,PTM,9,1776.41
29782,3071197,PTM,3,1199.55
29950,3025733,PTM,3,6374.32
30431,3037670,PTM,9,2046.51
30446,2345728,PTM,6,3987.85
30472,2599439,PTM,6,6561.30
30492,2741158,PTM,9,5087.96
30548,2350252,PTM,1,5814.66
